sample_id,track_id,official_position_index,x_actual_mm,sem_source_path,sem_tile_id,sem_mosaic_coordinate_px,sem_local_coordinate_px,sem_cross_track_reference_px,along_track_axis,increasing_x_direction,sem_mapping_id,mapping_source,mapping_confidence,mapping_available,mapping_exclusion_reason,distance_to_image_border_px,distance_to_tile_boundary_px
T8_F024,8,24,24.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,785.8861267040895,785.8861267040895,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,237.11387329591048,237.11387329591048
T8_F025,8,25,25.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,817.9631114675223,817.9631114675223,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,205.03688853247775,205.03688853247775
T8_F026,8,26,25.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,850.0400962309544,850.0400962309544,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,172.95990376904558,172.95990376904558
T8_F027,8,27,25.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,882.1170809943865,882.1170809943865,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,140.88291900561353,140.88291900561353
T8_F028,8,28,25.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,914.1940657578186,914.1940657578186,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,108.80593424218137,108.80593424218137
T8_F029,8,29,25.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,946.2710505212508,946.2710505212508,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,76.7289494787492,76.7289494787492
T8_F030,8,30,26.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,978.3480352846834,978.3480352846834,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,44.65196471531658,44.65196471531658
T8_F031,8,31,26.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1010.4250200481156,44.62999536173562,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,44.62999536173562,44.62999536173562
T8_F032,8,32,26.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1042.5020048115477,76.70698012516775,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,76.70698012516775,76.70698012516775
T8_F033,8,33,26.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1074.57898957498,108.78396488859987,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,108.78396488859987,108.78396488859987
T8_F034,8,34,26.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1106.6559743384119,140.860949652032,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,140.860949652032,140.860949652032
T8_F035,8,35,27.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1138.7329591018447,172.93793441546467,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,172.93793441546467,172.93793441546467
T8_F036,8,36,27.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1170.8099438652769,205.0149191788968,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,205.0149191788968,205.0149191788968
T8_F037,8,37,27.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1202.8869286287088,237.09190394232894,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,237.09190394232894,237.09190394232894
T8_F038,8,38,27.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1234.963913392141,269.16888870576105,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,269.16888870576105,269.16888870576105
T8_F039,8,39,27.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1267.0408981555731,301.24587346919316,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,301.24587346919316,301.24587346919316
T8_F040,8,40,28.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1299.1178829190058,333.3228582326259,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,333.3228582326259,333.3228582326259
T8_F041,8,41,28.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1331.194867682438,365.399842996058,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,365.399842996058,365.399842996058
T8_F042,8,42,28.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1363.27185244587,397.4768277594901,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,397.4768277594901,397.4768277594901
T8_F043,8,43,28.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1395.3488372093022,429.5538125229222,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,429.5538125229222,429.5538125229222
T8_F044,8,44,28.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1427.4258219727344,461.6307972863544,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,461.6307972863544,461.6307972863544
T8_F045,8,45,29.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1459.502806736167,493.70778204978706,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,493.70778204978706,493.70778204978706
T8_F046,8,46,29.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1491.5797914995992,525.7847668132192,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,497.2152331867808,497.2152331867808
T8_F047,8,47,29.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1523.6567762630314,557.8617515766513,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,465.1382484233487,465.1382484233487
T8_F048,8,48,29.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1555.7337610264633,589.9387363400834,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,433.06126365991656,433.06126365991656
T8_F049,8,49,29.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1587.8107457898955,622.0157211035155,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,400.9842788964845,400.9842788964845
T8_F050,8,50,30.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1619.887730553328,654.0927058669482,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,368.9072941330518,368.9072941330518
T8_F051,8,51,30.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1651.9647153167602,686.1696906303804,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,336.8303093696196,336.8303093696196
T8_F052,8,52,30.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1684.0417000801924,718.2466753938124,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,304.75332460618756,304.75332460618756
T8_F053,8,53,30.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1716.1186848436246,750.3236601572446,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,272.6763398427554,272.6763398427554
T8_F054,8,54,30.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1748.1956696070567,782.4006449206768,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,240.59935507932323,240.59935507932323
T8_F055,8,55,31.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1780.2726543704894,814.4776296841094,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,208.5223703158906,208.5223703158906
T8_F056,8,56,31.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1812.3496391339215,846.5546144475416,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,176.44538555245845,176.44538555245845
T8_F057,8,57,31.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1844.4266238973537,878.6315992109737,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,144.36840078902628,144.36840078902628
T8_F058,8,58,31.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1876.5036086607859,910.7085839744058,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,112.29141602559423,112.29141602559423
T8_F059,8,59,31.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1908.5805934242178,942.7855687378379,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,80.21443126216207,80.21443126216207
T8_F060,8,60,32.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1940.6575781876506,974.8625535012706,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,48.137446498729446,48.137446498729446
T8_F061,8,61,32.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,1972.7345629510821,1006.9395382647022,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,16.06046173529785,16.06046173529785
T8_F062,8,62,32.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2004.8115477145147,33.84762635675724,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,33.84762635675724,33.84762635675724
T8_F063,8,63,32.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2036.8885324779476,65.92461112018994,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,65.92461112018994,65.92461112018994
T8_F064,8,64,32.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2068.965517241379,98.00159588362149,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,98.00159588362149,98.00159588362149
T8_F065,8,65,33.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2101.042502004812,130.07858064705417,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,130.07858064705417,130.07858064705417
T8_F066,8,66,33.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2133.1194867682434,162.15556541048574,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,162.15556541048574,162.15556541048574
T8_F067,8,67,33.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2165.196471531676,194.2325501739184,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,194.2325501739184,194.2325501739184
T8_F068,8,68,33.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2197.2734562951086,226.30953493735112,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,226.30953493735112,226.30953493735112
T8_F069,8,69,33.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2229.35044105854,258.3865197007827,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,258.3865197007827,258.3865197007827
T8_F070,8,70,34.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2261.427425821973,290.46350446421536,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,290.46350446421536,290.46350446421536
T8_F071,8,71,34.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2293.5044105854045,322.5404892276469,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,322.5404892276469,322.5404892276469
T8_F072,8,72,34.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2325.5813953488373,354.61747399107963,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,354.61747399107963,354.61747399107963
T8_F073,8,73,34.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2357.6583801122697,386.6944587545123,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,386.6944587545123,386.6944587545123
T8_F074,8,74,34.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2389.7353648757016,418.77144351794385,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,418.77144351794385,418.77144351794385
T8_F075,8,75,35.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2421.812349639134,450.8484282813765,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,450.8484282813765,450.8484282813765
T8_F076,8,76,35.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2453.8893344025655,482.9254130448081,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,482.9254130448081,482.9254130448081
T8_F077,8,77,35.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2485.9663191659984,515.0023978082407,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,507.99760219175926,507.99760219175926
T8_F078,8,78,35.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2518.043303929431,547.0793825716735,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,475.9206174283265,475.9206174283265
T8_F079,8,79,35.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2550.1202886928627,579.1563673351051,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,443.8436326648949,443.8436326648949
T8_F080,8,80,36.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2582.197273456295,611.2333520985377,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,411.7666479014623,411.7666479014623
T8_F081,8,81,36.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2614.274258219727,643.3103368619693,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,379.6896631380307,379.6896631380307
T8_F082,8,82,36.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2646.3512429831594,675.387321625402,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,347.612678374598,347.612678374598
T8_F083,8,83,36.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2678.4282277465923,707.4643063888346,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,315.53569361116536,315.53569361116536
T8_F084,8,84,36.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2710.5052125100237,739.5412911522662,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,283.45870884773376,283.45870884773376
T8_F085,8,85,37.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2742.5821972734566,771.6182759156989,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,251.38172408430114,251.38172408430114
T8_F086,8,86,37.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2774.659182036888,803.6952606791305,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,219.30473932086954,219.30473932086954
T8_F087,8,87,37.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2806.736166800321,835.7722454425632,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,187.2277545574368,187.2277545574368
T8_F088,8,88,37.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2838.8131515637533,867.8492302059958,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,155.1507697940042,155.1507697940042
T8_F089,8,89,37.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,2870.890136327185,899.9262149694274,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,123.0737850305726,123.0737850305726
